reader,title,author,work_id,edition_id
you,"Paladin's Grace (The Saint of Steel, #1)",T. Kingfisher,OL20943470W,
you,"Smoke and Scar (Shattered Crown, #1)",Gretchen Powell Fox,OL42446520W,OL57597942M
you,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,OL21692763W,OL29512502M
you,"Jade City (The Green Bone Saga, #1)",Fonda Lee,OL19720196W,OL29776445M
you,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",S.A. Chakraborty,,
you,"Broken Souls and Bones (Stonegate, #1)",L.J. Andrews,OL42406708W,OL57572057M
you,"The Will of the Many (Hierarchy, #1)",James Islington,OL31088394W,OL42732394M
you,The Once and Future Witches,Alix E. Harrow,OL20868274W,OL60125700M
you,The Push,Ashley Audrain,OL21694014W,OL31850286M
you,My Husband,Maud Ventura,OL24628432W,OL42732642M
you,Something in the Water,Catherine Steadman,OL19749469W,OL26958700M
you,The Bungalow,Sarah Jio,OL16505935W,OL25202412M
you,Playground,Richard Powers,OL37830316W,OL51046853M
you,The Last Good Paradise,Tatjana Soli,OL19993234W,OL27173345M
you,The Guest List,Lucy Foley,OL20742637W,
you,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,OL20656224W,
you,The Lions of Fifth Avenue,Fiona  Davis,OL20799555W,OL28155666M
you,"Christmas at the Restaurant (The Nantucket Restaurant, #2)",Pamela M. Kelley,OL27962956W,
you,In a Holidaze,Christina Lauren,OL21895914W,OL29862048M
you,The Restaurant (The Nantucket Restaurant #1),Pamela M. Kelley,OL20780958W,
you,Fifty Words for Rain,Asha Lemmie,OL20897058W,OL28304941M
you,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,OL19661009W,OL26962414M
you,"Cilka's Journey (The Tattooist of Auschwitz, #2)",Heather   Morris,OL20189492W,OL32182144M
you,"Sing, Unburied, Sing",Jesmyn Ward,OL17826879W,
you,Artemis,Andy Weir,OL17837968W,OL26424863M
you,The Guest List,Lucy Foley,OL20742637W,
you,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,OL35623W,OL46938M
you,"American Gods (American Gods, #1)",Neil Gaiman,OL679360W,
you,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,OL17716925W,OL26923614M
you,"To Be Taught, If Fortunate",Becky Chambers,OL20642211W,OL27907474M
you,The Starless Sea,Erin Morgenstern,OL20416941W,OL27637630M
you,The Book of Lost Friends,Lisa Wingate,OL20662428W,OL27939836M
you,Conclave,Robert   Harris,OL17761028W,
you,Untamed,Glennon Doyle,OL20652361W,OL27925867M
you,Evvie Drake Starts Over,Linda  Holmes,OL20074937W,OL27254935M
you,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,OL16806416W,OL34142772M
you,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,OL17363125W,
